City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,atafu village,-8.5421,-172.5159,25.83,90,100,9.38,TK,1727399446
165,howrah,22.5892,88.3103,27.0,100,75,3.6,IN,1727399447
166,knin,44.0439,16.2,18.09,79,1,3.25,HR,1727399448
167,tagta,41.6504,59.9164,12.71,27,100,6.16,TM,1727399449
168,waddan,29.1614,16.139,23.58,67,0,3.16,LY,1727399450
169,funafuti,-8.5243,179.1942,31.0,79,75,3.6,TV,1727399451
170,daru,-9.0763,143.2092,26.87,84,96,5.24,PG,1727399452
171,wewak,-3.5534,143.6268,28.46,78,100,1.82,PG,1727399454
172,kodiak,57.79,-152.4072,7.73,66,100,5.66,US,1727399173
173,dompu,-8.5356,118.4622,32.16,52,2,1.25,ID,1727399457
174,bodaybo,57.8506,114.1933,4.67,75,93,1.27,RU,1727399416
175,north bend,43.4065,-124.2243,17.92,72,0,2.57,US,1727399459
176,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,51,0,2.0,RU,1727399460
177,somotillo,13.0433,-86.9064,23.71,96,85,0.42,NI,1727399462
178,shache,38.4167,77.2406,20.53,27,0,5.5,CN,1727399463
179,banjarmasin,-3.3244,114.591,28.08,68,100,0.17,ID,1727399464
180,vylkove,45.4021,29.586,18.1,91,100,3.68,UA,1727399465
181,hadibu,12.65,54.0333,25.22,84,69,7.37,YE,1727399466
182,constantia,44.1833,28.65,17.61,85,72,5.07,RO,1727399467
183,iskateley,67.6803,53.1512,10.88,90,65,7.5,RU,1727399468
184,tura,25.5198,90.2201,22.41,97,100,1.24,IN,1727399469
185,naze,28.3667,129.4833,27.18,82,11,7.51,JP,1727399471
186,tazovsky,67.4667,78.7,-1.43,87,100,4.25,RU,1727399472
187,kone,-21.0595,164.8658,30.98,34,43,1.93,NC,1727399473
188,cannonvale,-20.2833,148.7,25.66,61,100,2.99,AU,1727399474
189,egilsstadir,65.2653,-14.3948,1.78,98,98,2.24,IS,1727399476
190,uturoa,-16.7333,-151.4333,26.51,80,10,3.68,PF,1727399478
191,brisas de zicatela,15.8369,-97.0419,24.61,92,100,0.75,MX,1727399479
192,macas,-2.3167,-78.1167,21.98,84,100,1.5,EC,1727399480
193,anloga,5.7947,0.8973,25.38,88,95,4.72,GH,1727399481
194,qaqortoq,60.7167,-46.0333,4.55,84,4,4.24,GL,1727399482
195,grand falls-windsor,48.9332,-55.6649,8.06,87,7,1.1,CA,1727399483
196,vila velha,-20.3297,-40.2925,24.41,82,40,5.81,BR,1727399484
197,tutoia,-2.7619,-42.2744,25.87,83,2,5.31,BR,1727399474
198,anapa,44.8908,37.3239,14.19,100,20,3.0,RU,1727399487
199,galaat el andeless,37.0629,10.1183,22.95,66,6,0.97,TN,1727399488
200,queenstown,-31.8976,26.8753,8.51,83,70,0.17,ZA,1727399489
201,fort bragg,35.139,-79.006,24.91,96,100,4.12,US,1727399371
202,sechura,-5.5569,-80.8222,18.2,80,5,6.35,PE,1727399491
203,fort mcmurray,56.7268,-111.381,12.03,53,80,2.28,CA,1727399492
204,tadine,-21.55,167.8833,25.34,53,81,4.77,NC,1727399493
205,jaisalmer,26.9147,70.9181,30.55,56,11,5.19,IN,1727399495
206,la ronge,55.1001,-105.2842,9.73,78,100,7.61,CA,1727399497
207,vanderbijlpark,-26.7117,27.838,12.32,26,100,1.63,ZA,1727399498
208,east london,-33.0153,27.9116,15.38,77,23,2.86,ZA,1727399499
209,dalhem,50.7132,5.7277,14.28,84,51,8.68,BE,1727399500
210,ain el bya,35.8039,-0.3018,25.2,55,18,5.45,DZ,1727399501
211,la sarre,48.8002,-79.1996,12.02,90,100,1.49,CA,1727399503
212,satuek,15.297,103.2919,26.98,82,100,1.45,TH,1727399504
213,emerald,-23.5333,148.1667,25.75,51,100,3.58,AU,1727399505
214,parksville,49.3163,-124.3195,12.75,99,100,1.34,CA,1727399506
215,rosarito,32.3333,-117.0333,20.54,73,0,5.18,MX,1727399507
216,bandar,2.05,99.75,24.27,87,100,0.39,ID,1727399508
217,magdagachi,53.45,125.8,14.01,54,100,4.44,RU,1727399509
218,barauna,-5.08,-37.6167,23.78,69,0,7.1,BR,1727399511
219,pakse,15.1167,105.7833,26.71,83,87,0.9,LA,1727399512
220,sola,-13.8833,167.55,26.07,76,12,8.65,VU,1727399513
221,isafjordur,66.0755,-23.124,1.68,97,100,2.72,IS,1727399514
222,chandler,33.3062,-111.8412,40.96,13,0,4.12,US,1727399515
223,balykshi,47.0667,51.8667,7.0,45,0,4.0,KZ,1727399516
224,the pas,53.8251,-101.2541,18.61,57,6,11.6,CA,1727399475
225,polyarnyy,69.1989,33.4478,8.42,88,100,4.89,RU,1727399518
226,porto novo,6.4965,2.6036,24.61,91,41,2.24,BJ,1727399520
227,aasiaat,68.7098,-52.8699,1.47,74,100,2.0,GL,1727399521
228,fortuna,40.5982,-124.1573,18.29,68,0,5.66,US,1727399522
229,gwadar,25.1216,62.3254,26.3,84,89,2.69,PK,1727399523
230,mhamid,29.82,-5.72,27.69,30,9,3.18,MA,1727399524
231,aykhal,66.0,111.5,-0.28,90,80,4.15,RU,1727399525
232,karema,-6.8205,30.4389,24.34,45,68,1.83,TZ,1727399526
233,onguday,50.75,86.15,-2.01,89,98,0.85,RU,1727399527
234,northport,33.229,-87.5772,22.95,76,75,3.09,US,1727399529
235,lucapa,-8.4192,20.7447,24.6,47,97,1.62,AO,1727399530
236,jiuquan,39.7432,98.5174,17.37,38,5,3.64,CN,1727399531
237,laojunmiao,39.8333,97.7333,15.27,38,68,0.27,CN,1727399532
238,laguna,38.421,-121.4238,31.13,34,0,2.06,US,1727399433
239,karera,25.4667,78.15,24.51,96,100,2.26,IN,1727399535
240,bangassou,4.7413,22.8184,20.55,95,41,1.23,CF,1727399537
241,nova vicosa,-17.8919,-39.3719,23.87,78,0,5.4,BR,1727399538
242,"laikit, laikit ii (dimembe)",1.4792,124.9735,30.47,58,20,1.03,ID,1727399539
243,vernon,50.2581,-119.2691,17.09,45,100,1.34,CA,1727399540
244,tangalle,6.024,80.7911,26.15,83,100,4.98,LK,1727399541
245,serowe,-22.3833,26.7167,21.92,18,16,1.92,BW,1727399542
246,kenai,60.5544,-151.2583,11.68,83,100,3.6,US,1727399543
247,hawaiian paradise park,19.5933,-154.9731,26.04,87,93,1.79,US,1727399545
248,richards bay,-28.783,32.0377,18.81,79,16,6.82,ZA,1727399546
249,santo antonio,-6.3106,-35.4789,21.02,91,42,4.42,BR,1727399547
250,ambovombe,-25.1667,46.0833,21.35,81,8,0.23,MG,1727399548
251,mataram,-8.5833,116.1167,30.45,74,100,0.87,ID,1727399549
252,kirensk,57.7853,108.1119,2.13,77,15,1.17,RU,1727399399
253,ugoofaaru,5.6667,73.0,27.53,78,100,6.51,MV,1727399551
254,tofol,5.3248,163.0078,28.86,69,0,1.59,FM,1727399552
255,malango,-2.9627,119.9001,26.29,65,37,1.26,ID,1727399554
256,sevastopol,44.6,33.5333,19.19,71,6,1.28,UA,1727399555
257,eyl,7.9803,49.8164,25.25,72,92,7.32,SO,1727399511
258,wotho,10.1657,166.0102,28.86,74,100,6.42,MH,1727399557
259,kachug,53.9606,105.8817,2.93,62,98,1.13,RU,1727399558
260,saipan,15.1355,145.701,28.39,89,40,3.6,MP,1727399559
261,songea,-10.6833,35.65,16.49,64,5,1.84,TZ,1727399560
262,nemuro,43.3236,145.575,16.78,96,100,3.94,JP,1727399561
263,sinabang,2.4803,96.3801,27.03,84,91,0.63,ID,1727399563
264,lannion,48.75,-3.4167,10.64,85,94,1.34,FR,1727399564
265,saint-pierre,-21.3393,55.4781,21.82,78,100,1.54,RE,1727399440
266,berdigestyakh,62.0989,126.6992,0.81,99,100,3.2,RU,1727399566
267,howard springs,-12.497,131.047,31.04,65,14,1.73,AU,1727399567
268,tsiombe,-25.3,45.4833,20.63,84,3,1.87,MG,1727399569
269,blackwater,-23.5833,148.8833,25.83,48,100,3.23,AU,1727399570
270,arkhangel'sk,64.5401,40.5433,14.06,100,75,3.0,RU,1727399571
271,darwin,-12.4611,130.8418,31.08,58,40,2.06,AU,1727399572
272,susuman,62.7833,148.1667,6.44,54,4,1.24,RU,1727399573
273,mejit,10.2753,170.8646,28.49,76,74,5.43,MH,1727399574
274,phatthalung,7.5,100.0833,26.11,86,100,1.33,TH,1727399526
275,talodi,10.6325,30.3797,22.38,81,68,0.39,SD,1727399577
276,purranque,-40.9167,-73.1667,3.42,80,100,0.38,CL,1727399578
277,qarazhal,48.0078,70.7903,2.33,51,5,3.83,KZ,1727399579
278,ixtapa,20.7,-105.2,30.57,84,100,2.57,MX,1727399388
279,rosario del tala,-32.3029,-59.1455,11.9,68,4,4.07,AR,1727399581
280,khark,29.2614,50.3306,32.22,57,0,7.24,IR,1727399582
281,ardakan,32.31,54.0175,21.34,39,0,5.98,IR,1727399583
282,sona,45.4388,10.8255,18.51,88,75,2.06,IT,1727399586
283,taoudenni,22.6783,-3.9836,35.4,23,0,6.49,ML,1727399587
284,tomohon,1.3346,124.8392,27.52,56,69,0.39,ID,1727399588
285,lyangasovo,58.5176,49.4472,9.41,40,99,4.49,RU,1727399589
286,auki,-8.7676,160.7034,29.13,71,73,0.71,SB,1727399590
287,pisco,-13.7,-76.2167,17.03,82,100,4.12,PE,1727399591
288,khandyga,62.6667,135.6,10.69,56,100,2.84,RU,1727399593
289,college,64.8569,-147.8028,7.26,77,100,2.57,US,1727399594
290,aktanysh,55.7216,54.0829,8.68,45,13,3.6,RU,1727399595
291,belle chasse,29.8549,-89.9906,27.78,56,0,5.36,US,1727399596
292,ad dawadimi,24.5077,44.3924,24.64,27,100,3.97,SA,1727399597
293,demyansk,57.643,32.466,16.99,59,100,6.32,RU,1727399598
294,mil'kovo,55.6078,37.7956,17.41,52,93,6.24,RU,1727399599
295,serov,59.6033,60.5787,9.48,73,100,2.99,RU,1727399600
296,isla mujeres,21.2311,-86.731,27.03,86,57,2.4,MX,1727399603
297,port-vila,-17.7338,168.3219,27.78,69,75,4.63,VU,1727399604
298,trujillo,-8.116,-79.03,16.98,88,40,4.12,PE,1727399605
299,ad dabbah,18.05,30.95,32.23,19,97,6.34,SD,1727399606
300,quellon,-43.1167,-73.6167,5.28,84,100,2.31,CL,1727399607
301,iskitim,54.6366,83.3045,2.12,99,100,2.77,RU,1727399610
302,awjilah,29.1081,21.2869,24.73,54,0,3.03,LY,1727399611
303,mora,11.0461,14.1401,25.93,70,99,1.82,CM,1727399612
304,alofi,-19.0595,-169.9187,25.94,61,75,7.72,NU,1727399613
305,clarkston heights-vineland,46.3874,-117.083,24.13,27,0,0.0,US,1727399614
306,lamarque,-39.423,-65.7021,17.36,14,100,8.02,AR,1727399615
307,bamboo flat,11.7,92.7167,27.05,89,40,1.03,IN,1727399617
308,hamar,60.7945,11.068,3.64,83,42,1.5,NO,1727399618
309,saint-philippe,-21.3585,55.7679,21.47,85,68,6.64,RE,1727399619
310,sulak,43.2734,47.5146,19.49,64,11,9.25,RU,1727399620
311,okha,53.5739,142.9478,11.58,85,100,3.91,RU,1727399621
312,ma'rib,15.4591,45.3253,26.41,24,8,2.75,YE,1727399622
313,guiyang,26.5833,106.7167,21.04,83,100,2.44,CN,1727399623
314,nzega,-2.479,29.5564,17.06,58,71,1.29,RW,1727399625
315,rongelap,11.1635,166.8941,28.85,75,84,7.37,MH,1727399626
316,hammerfest,70.6634,23.6821,6.25,75,75,6.69,NO,1727399627
317,cromer,52.9312,1.2989,12.0,87,100,8.46,GB,1727399628
318,ancud,-41.8697,-73.8203,5.58,75,99,2.68,CL,1727399629
319,barranca,-10.75,-77.7667,16.54,82,46,2.44,PE,1727399630
320,thinadhoo,0.5333,72.9333,28.14,74,100,7.41,MV,1727399631
321,haiku-pauwela,20.9219,-156.3051,27.01,74,40,11.62,US,1727399632
322,punta del este,-34.9667,-54.95,12.15,94,40,5.14,UY,1727399634
323,nukus,42.4531,59.6103,6.99,45,0,3.09,UZ,1727399635
324,middle valley,35.1959,-85.1847,20.24,97,100,4.78,US,1727399636
325,kajiado,-1.8524,36.7768,15.49,83,21,1.97,KE,1727399637
326,shalkar,47.8288,59.6258,8.37,43,1,3.38,KZ,1727399638
327,shilka,51.85,116.0333,9.93,63,100,0.75,RU,1727399639
328,san rafael del yuma,18.4299,-68.6739,27.11,87,99,3.23,DO,1727399640
329,lompoc,34.6391,-120.4579,20.51,80,75,6.17,US,1727399436
330,lazuri,47.85,22.8667,20.99,56,100,3.09,RO,1727399643
331,pacific grove,36.6177,-121.9166,18.54,92,75,4.12,US,1727399644
332,fomboni,-12.28,43.7425,25.0,75,0,2.92,KM,1727399645
333,plaza huincul,-38.926,-69.2086,12.86,10,100,1.34,AR,1727399646
